Window,OrderUpTo,ServiceLevel,Objective
1,156.0,99.88205467372134,7.448851654533332e6
2,155.0,99.86848067550093,7.428864933733333e6
3,155.0,99.8534873419878,7.229360931333335e6
4,147.0,99.88749856503267,7.144071831174795e6
5,153.0,99.86407041152682,7.248575731866668e6
6,176.0,99.96292634700939,7.312478952e6
7,159.0,99.85363619096566,7.338193695733335e6
8,162.0,99.89564136154718,7.393199896266665e6
