Window,OrderUpTo,ServiceLevel,Objective
1,156.0,99.59760399823607,7.480973860133333e6
2,141.0,99.55051212143542,7.441970107866667e6
3,146.0,99.80119284294234,7.238650636466668e6
4,146.0,99.63632883529525,7.163768753866668e6
5,165.0,99.89232280489648,7.2589457266000025e6
6,153.0,99.58973398276508,7.318003665333334e6
7,150.0,99.53418174365089,7.362226641866667e6
8,153.0,99.5056745598282,7.415485824933333e6
